trac_name,start_race,race_id,participants
Exeter,16:55,5228072,"{'horse_name': ['Thegirlfrommilan', 'All Kings', 'Muffins For Tea', ""Albert D'olivate"", 'Zero Grand', 'Shoofly Milly', 'Crank Em Up', 'Obistar', 'The Artful Cobbler', 'Beer Goggles', 'Mountain Of Mourne', 'What Larks'], 'horse_id': ['8', '2', '4', '6', '3', '11', '1', '9', '10', '5', '7', '12'], 'horse_chances': ['4/1 ', '13/2 ', '15/2 ', '15/2 ', '9/1 ', '9/1 ', '10/1 ', '11/1 ', '12/1 ', '14/1 ', '22/1 ', '25/1 ']}"
Lingfield,14:55,5228059,"{'horse_name': ['Casablanca', 'Appy Days', 'The Blue Bomber', 'Marauder', 'Paris Bound', ""L'ami De Rouge""], 'horse_id': ['5', '4', '2', '1', '3', '6'], 'horse_chances': ['2/1 ', '9/4 ', '5/2 ', '11/1 ', '11/1 ', '100/1 ']}"
Lingfield,15:25,5228062,"{'horse_name': ['Auric Goldfinger', 'State Residence', 'Beauchamp Opal', 'Ourmullion', 'Sandy Shores', 'Delfie Lane', 'Baby Helmet', 'Georgio', 'Oakley Pride', 'Greyjoy', 'London Grammar'], 'horse_id': ['6', '7', '9', '4', '2', '8', '5', '10', '1', '3', '11'], 'horse_chances': ['6/4', '7/1 ', '7/1 ', '15/2 ', '17/2 ', '12/1 ', '14/1 ', '14/1 ', '16/1 ', '28/1 ', '66/1 ']}"
Lingfield,14:20,5228056,"{'horse_name': ['Mystikana', 'Goodby Inheritence', 'Jersey Bull', 'The Ginger Berry', 'Firestorm', 'My Lord', 'Katalan', 'Cottesloe'], 'horse_id': ['5', '3', '4', '2', '6', '7', '8', '1'], 'horse_chances': ['11/4 ', '3/1 ', '4/1 ', '5/1 ', '13/2 ', '14/1 ', '22/1 ']}"
Exeter,17:25,5228071,"{'horse_name': ['Goonjim', 'Tobacco Road', 'Chance Taken', 'Blue April', 'Georgieshore', 'Baccalaureate', 'Daytime Ahead', 'Old Magic', 'Richardofdoccombe', 'Etheridge Annie', 'Touch Screen', 'Charlie Parker'], 'horse_id': ['12', '1', '2', '7', '4', '5', '8', '6', '3', '11', '9', '10'], 'horse_chances': ['2/1 ', '4/1 ', '6/1 ', '8/1 ', '11/1 ', '12/1 ', '12/1 ', '20/1 ', '22/1 ', '28/1 ', '33/1 ', '33/1 ']}"
Golden Gate Fields,22:45,5227077,"{'horse_name': ['Kolocha', 'Angel Tears', 'Say Your Grace', 'Gotham Desire', ""Ron's Answer"", ""Lorenzo's Gem"", 'Betdesilvergold'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Golden Gate Fields,20:45,5227072,"{'horse_name': ['French Tart', 'Our Clementine', 'Prophetinparadise', 'Red Rose Lady', 'Annisquam'], 'horse_id': ['1', '2', '3', '4', '5'], 'horse_chances': []}"
Golden Gate Fields,21:45,5227075,"{'horse_name': ['Fast And Foxy', 'Mon Petite', 'Turkish Tabby', 'Kiss N Scat', 'Estellara'], 'horse_id': ['1', '2', '3', '4', '5'], 'horse_chances': []}"
Golden Gate Fields,21:15,5227074,"{'horse_name': ['Gunny', ""Willie's Angel"", 'Highland Rose', 'Arviat Bay', 'Shez A Griller', 'Cazorla'], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Sunland Park,23:29,5227157,"{'horse_name': ['California Gurl', 'Ima Tempting Dash', 'Cautionsly', 'One Famous Swinger', 'One Sweet Shazee', 'Easily Bono', 'Regal First Moon', 'Queen Arabella', 'Rumers', 'Jessa Dashin', 'Jm Onfire'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'], 'horse_chances': []}"
Golden Gate Fields,22:15,5227076,"{'horse_name': ['Better In Leather', 'Buttie', 'Hekawi', 'Tiz Trendy', 'Tricked Again', ""She's My Cookie""], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Sunland Park,23:55,5227158,"{'horse_name': ['He Has Another Chick', 'Jumpn Dash N Go', 'Aamos Moses', 'This Blue Is For You', 'Mr Investment Junior', 'Valiant Meltdown', 'Gonna Rock You', 'Apollitical Flight', 'First Duke', 'Jesse Art', 'Timeto Runaway', 'Loris Winner'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Sunland Park,23:03,5227156,"{'horse_name': ['Vodka Rocks', 'Cd Josey Wales', 'Lovely Lily Rose', 'Karls Motor Boat', 'Ms Elegant Eyes', 'Okie Paint Job', 'Southern Temptation', 'Jp A Roaring Lion', 'Creme Dela Cartel', 'Fredfree', 'Hot Doggin Foose', 'High Tide Down'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Sunland Park,22:11,5227154,"{'horse_name': ['El Picoso Grande', 'Rkm Jesse Gotyouback', 'Big Daddy Rf', 'Swiss White Wine', 'Rc Runaway One', 'Sweet Super Woman', 'Blushette', 'Spotted Vike', 'Shes A Hard Ten', 'Vintage Outlaw', 'My Jesse Blue', 'Mamacita Cartel'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Sunland Park,20:55,5227151,"{'horse_name': ['One Special Wave', 'First Lluvia Runaway', 'Altanero', 'Ym Icy', 'Onmybucketlist', 'Silver Vista', 'West Coast Offense B', 'Highest Return', 'Jeffs Knightmare', 'Hard Not To Sing', 'Its Crunch Tyme', 'Scooters Debutant'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Sunland Park,21:45,5227153,"{'horse_name': ['Unbridled Joy', 'Trading On Up', 'Butch Up Sally', 'Creole Winner', 'Nemos Treasure', 'Dashingthrutheden', 'Dmzizzagonaroll', 'My Dashing Corona', 'Reddyforwhatido', 'Go Streak Lightning', 'Wdc Cowboys Like Us', 'All Forgiven'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Chantilly,15:40,5224561,"{'horse_name': ['Astronomy Alfred', 'Bamaxsar', 'Teodash', 'Vatohio', 'Be My Lady', 'Pourquoipa', 'Funky Mary', ""L'arnacoeur"", 'Earletta', 'Miss Post Office', 'Maldon', 'Poster', 'Glamour Star', 'Coeur Dolois', 'Just New', 'Testarossa'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16'], 'horse_chances': []}"
Sunland Park,20:30,5227150,"{'horse_name': ['Es Heza Lucky', 'Hardtimez', 'Corona On A Stick', 'Jess Mr Dinero', 'Bonnie The Barfly', 'Calabcitas', 'Fanfreakntastic', 'Real Dancing Zulu', 'Jesses Perfect High', 'Dance Or Get Out', 'Relentless Reasons', 'Im Bigtime Southern'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Sunland Park,21:20,5227152,"{'horse_name': ['Igotgame Rf', 'A Special Dawn', 'Jmf Western Man', 'Day Drink In', 'Mr Bill Bass', 'Streicher', 'Azoomn Destiny', 'Midnightsassy', 'Zedeco', 'Bars N Cars', 'Hot Judgement', 'Dynasty Ice 123'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'horse_chances': []}"
Chantilly,16:10,5224562,"{'horse_name': ['Wave Power', 'Albufera', 'Bluvida', 'Golden Buck', 'Night Lily', 'Bubbly', 'Volpe Fiona', 'Country Nevez', 'Green Saga', 'Conte Colorate', 'Pretzelle', ""Inca D'or"", 'Flora', 'Golden Criss', 'Should I Dream', 'Redbulldevaige'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16'], 'horse_chances': []}"
Sunland Park,22:37,5227155,"{'horse_name': ['Jm Blu Moonflash', 'Wahoo Raider', 'Quick Pik', 'June Bug Junior', 'Sir Diamond Dash', 'Dashin N Blazin', 'Jess Rueben James', 'Jesses Leader', 'Beverlys Ruller', 'Eyesawagon', 'Major Moonflash'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'], 'horse_chances': []}"
Chantilly,15:10,5224560,"{'horse_name': ['Tongues Of Fire', 'Fastnet Squall', 'Adiabate', 'Combat Des Trente', 'Distingo', 'Enki Girl', 'Pti Paul', 'Cajarian', 'Pompeii', 'Burning Man', 'Wallis', 'First Conde', 'Mavilla', 'New Yorkaise', 'Rebecamille'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15'], 'horse_chances': []}"
Chantilly,14:05,5224558,"{'horse_name': ['Komodo', 'Loup Royal', 'Queen Agdal', 'Drole De Secret', 'Lady Emerald', 'Cabaret Dancer', 'Passage Rimbaut', 'Shark Cliff', 'Je Te Vois', 'Islandor', 'Gold And Roses', 'Cevedale', 'Sparkle Jack'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13'], 'horse_chances': []}"
Chantilly,14:40,5224559,"{'horse_name': ['Hout Bay', 'Achillea', 'Normandy Kitten', 'Pastrida', 'Lady Katanga', 'Heartbeat', 'Majura', 'Afsane', 'Barbassionne', 'Funding', ""Accord D'argent"", 'Shamatorio', 'American Star', 'Champenoise', 'La Perle Doloise', 'Insolito'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16'], 'horse_chances': []}"
Chantilly,13:35,5224557,"{'horse_name': ['Meandro', 'Aztec Dreams', 'Vincento', 'Extinguish', 'Early Enough', 'Duc De St Fiacre', 'Musuko', 'Sainte Tempete', ""Dame D'id""], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Delta Downs,23:40,5227063,"{'horse_name': ['Boogie Gal', ""Gladys' Frontier"", 'Quick Rae Rae', 'Chairman Mom', 'Myjobismylife', 'Layla Forever', 'Saintly Ballad', 'Road Show', 'Miss Contempt', 'Harlons Commision'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10'], 'horse_chances': []}"
Chantilly,13:05,5224556,"{'horse_name': ['Graffiti', 'Elusive Blue', 'Zoelola', 'La Playa', 'Volare Alto', 'La Dame En Rouge', 'Midnight Express', 'Zahiria'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8'], 'horse_chances': []}"
Chantilly,12:20,5224555,"{'horse_name': ['High One', 'Stormy', 'Makhzen', 'La Breviere', 'Red Cayenne', 'Bouquet De Flores', 'Baby Jane', 'Westit', 'Global Impact'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'horse_chances': []}"
Turfway Park,23:44,5227067,"{'horse_name': ['Bobby V.', 'Infiltration', 'Sergios Pride', 'War Ready', 'Proven Warrior', 'Tacoma Park', 'Scissors And Tape'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Turfway Park,23:15,5227066,"{'horse_name': ['Fancy Justice', 'Princess Dinah', 'Mercer Slough', 'Discreet Kiss', 'Prom Theme', 'Weekend In Malibu'], 'horse_id': ['1', '2', '3', '4', '5', '6'], 'horse_chances': []}"
Penn National,23:54,5227073,"{'horse_name': ['Honor Commitment', 'Kowboy Duel', 'Rockhaven', 'Joshie', 'Bridle Me', 'Fire Sparx', 'Philanthromister'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Penn National,23:27,5227071,"{'horse_name': ['Goodnewswithatwist', 'Northern Call', 'Royal Brute', 'Polished Degree', 'Beauziggity', 'Timetogivein', 'Cosmic Charlie'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
Penn National,23:00,5227070,"{'horse_name': ['Untethered', 'Waitin On One', 'Trouble With Girls', 'Bat Cave', 'Risky Guy', 'Moorestown Jackie', 'Congrats To M K'], 'horse_id': ['1', '2', '3', '4', '5', '6', '7'], 'horse_chances': []}"
